date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,antibodyNegative,antibodyPositive,antibodyTotal,deathConfirmed,deathProbable,pcrNegativeTests,pcrPositiveCases,pcrPositiveTests,pcrTotalTests,positiveConfirmed,totalTestsPeople,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20200301,3,112,14,,,,,,,,,2020-03-01T00:00:00Z,8,,,,0,0,81,116,35,116,,,,2020-03-01T00:00:00Z,126,126,126,3,0,-3,88,85,27014504e3ebe5c7adf7fdbd144a9df573eba735
20200229,1,24,17,,,,,,,,,2020-02-29T00:00:00Z,5,,,,,,23,24,18,41,,,,2020-02-29T00:00:00Z,41,41,41,1,0,17,15,32,0ff0b275935578c3f03d12e8e0052dbf91aea71a
20200228,1,9,,,,,,,,,,2020-02-28T00:00:00Z,4,,,,,,,,,,,,,2020-02-28T00:00:00Z,9,9,9,2,0,0,7,7,eb94d2360fd1d83454d4c5ccaeaeb0c782185cbb
20200227,1,2,,,,,,,,,,2020-02-27T00:00:00Z,2,,,,,,,,,,,,,2020-02-27T00:00:00Z,2,2,2,0,0,0,0,0,56fb9548469c4bdf5ba53804c070eb04b5b5b66e
20200226,1,2,,,,,,,,,,2020-02-26T00:00:00Z,2,,,,,,,,,,,,,2020-02-26T00:00:00Z,2,2,2,2,0,0,0,0,4140ac8f979a65d317b8b96509b9ac42e7063346
20200225,1,2,,,,,,,,,,2020-02-25T00:00:00Z,,,,,,,,,,,,,,2020-02-25T00:00:00Z,2,2,2,0,0,0,0,0,a5a698bef9457367caf40954a8ea7f90afd7ee51
20200224,1,2,,,,,,,,,,2020-02-24T00:00:00Z,,,,,,,,,,,,,,2020-02-24T00:00:00Z,2,2,2,0,0,0,0,0,0428492cba6f46078e9dd46ec8fb70c8d887c792
20200223,1,2,,,,,,,,,,2020-02-23T00:00:00Z,,,,,,,,,,,,,,2020-02-23T00:00:00Z,2,2,2,0,0,0,0,0,3c4593f97fbd9e9427bda93667d72ad0cf523063
20200222,1,2,,,,,,,,,,2020-02-22T00:00:00Z,,,,,,,,,,,,,,2020-02-22T00:00:00Z,2,2,2,0,0,0,0,0,062d8f6dd050433cda860acd452769316b0d677c
20200221,1,2,,,,,,,,,,2020-02-21T00:00:00Z,,,,,,,,,,,,,,2020-02-21T00:00:00Z,2,2,2,0,0,0,0,0,2301438769747dbeec19125321e69c4b4b6fe7da
20200220,1,2,,,,,,,,,,2020-02-20T00:00:00Z,,,,,,,,,,,,,,2020-02-20T00:00:00Z,2,2,2,0,0,0,0,0,84e19d6aeaccf7239c25eb415ddb51a7cfa5d0bc
20200219,1,2,,,,,,,,,,2020-02-19T00:00:00Z,,,,,,,,,,,,,,2020-02-19T00:00:00Z,2,2,2,0,0,0,0,0,9cf87b2ca28acece6bf2749afe0b3873a2fc1a53
20200218,1,2,,,,,,,,,,2020-02-18T00:00:00Z,,,,,,,,,,,,,,2020-02-18T00:00:00Z,2,2,2,0,0,0,0,0,c723fbf84ad1b9c412b620d0b3c43cf10910829f
20200217,1,2,,,,,,,,,,2020-02-17T00:00:00Z,,,,,,,,,,,,,,2020-02-17T00:00:00Z,2,2,2,0,0,0,0,0,827a223be30787efd714fb67ab265f70061c35f5
20200216,1,2,,,,,,,,,,2020-02-16T00:00:00Z,,,,,,,,,,,,,,2020-02-16T00:00:00Z,2,2,2,0,0,0,0,0,94ae137931d83eb71c043a8a88ef326dc1978c70
20200215,1,2,,,,,,,,,,2020-02-15T00:00:00Z,,,,,,,,,,,,,,2020-02-15T00:00:00Z,2,2,2,0,0,0,0,0,898c32bbf795419d87cd4fb47c2dd637db2c84ca
20200214,1,2,,,,,,,,,,2020-02-14T00:00:00Z,,,,,,,,,,,,,,2020-02-14T00:00:00Z,2,2,2,0,0,0,0,0,1a091bcf63e78f6310a1ca2b0a6e40f9f497ebee
20200213,1,2,,,,,,,,,,2020-02-13T00:00:00Z,,,,,,,,,,,,,,2020-02-13T00:00:00Z,2,2,2,0,0,0,0,0,a14151f6d5ffb25811274c667b191acc8a34b73d
20200212,1,2,,,,,,,,,,2020-02-12T00:00:00Z,,,,,,,,,,,,,,2020-02-12T00:00:00Z,2,2,2,0,0,0,0,0,edca223dbba2c31d206b16b5b3fbcc5986843a11
20200211,1,2,,,,,,,,,,2020-02-11T00:00:00Z,,,,,,,,,,,,,,2020-02-11T00:00:00Z,2,2,2,0,0,0,0,0,09a76098e9129cbe519403769c87940a283e743f
20200210,1,2,,,,,,,,,,2020-02-10T00:00:00Z,,,,,,,,,,,,,,2020-02-10T00:00:00Z,2,2,2,0,0,0,0,0,69f6ed0382bd2910f649081102fc6cff2fea9458
20200209,1,2,,,,,,,,,,2020-02-09T00:00:00Z,,,,,,,,,,,,,,2020-02-09T00:00:00Z,2,2,2,0,0,0,0,0,2229554a721212ac4436e2802d18a9bc2bea5621
20200208,1,2,,,,,,,,,,2020-02-08T00:00:00Z,,,,,,,,,,,,,,2020-02-08T00:00:00Z,2,2,2,0,0,0,0,0,9494b0af15520c84efd1b80b1d09baee80fe6c35
20200207,1,2,,,,,,,,,,2020-02-07T00:00:00Z,,,,,,,,,,,,,,2020-02-07T00:00:00Z,2,2,2,0,0,0,1,1,f37dfa2623f40a6adff7f1b312cd6dba13ded8c7
20200206,1,1,,,,,,,,,,2020-02-06T00:00:00Z,,,,,,,,,,,,,,2020-02-06T00:00:00Z,1,1,1,0,0,0,0,0,a56d714a90d9869285880801b89b6cab96c3a197
20200205,1,1,,,,,,,,,,2020-02-05T00:00:00Z,,,,,,,,,,,,,,2020-02-05T00:00:00Z,1,1,1,0,0,0,0,0,a27e6ddeedf1b86769137ce9b205dc909374717d
20200204,1,1,,,,,,,,,,2020-02-04T00:00:00Z,,,,,,,,,,,,,,2020-02-04T00:00:00Z,1,1,1,0,0,0,0,0,b89636eeb14c44d384804aa6fb5bda629b9598bd
20200203,1,1,,,,,,,,,,2020-02-03T00:00:00Z,,,,,,,,,,,,,,2020-02-03T00:00:00Z,1,1,1,0,0,0,0,0,50c2821ad502ac84b7faf930d914d87081fcc6c1
20200202,1,1,,,,,,,,,,2020-02-02T00:00:00Z,,,,,,,,,,,,,,2020-02-02T00:00:00Z,1,1,1,0,0,0,0,0,3753991f32b2ffce27cc15d2ce4bd0262312c37e
20200201,1,1,,,,,,,,,,2020-02-01T00:00:00Z,,,,,,,,,,,,,,2020-02-01T00:00:00Z,1,1,1,0,0,0,0,0,a13c3886b5b6c39004f49fd2f8019229ea613774
20200131,1,1,,,,,,,,,,2020-01-31T00:00:00Z,,,,,,,,,,,,,,2020-01-31T00:00:00Z,1,1,1,0,0,0,0,0,7753a2562d7d28b49b0c5a76e1dfac4690dacdda
20200130,1,1,,,,,,,,,,2020-01-30T00:00:00Z,,,,,,,,,,,,,,2020-01-30T00:00:00Z,1,1,1,0,0,0,0,0,2c4dbc5ba8e0e3bca93cf63c41057f02b8fca926
20200129,1,1,,,,,,,,,,2020-01-29T00:00:00Z,,,,,,,,,,,,,,2020-01-29T00:00:00Z,1,1,1,0,0,0,0,0,d0304368a73a54cbaa3bfc635c6c818585c819b5
20200128,1,1,,,,,,,,,,2020-01-28T00:00:00Z,,,,,,,,,,,,,,2020-01-28T00:00:00Z,1,1,1,0,0,0,0,0,70c05f33ed199e09a271c6b9447b986008d14702
20200127,1,1,,,,,,,,,,2020-01-27T00:00:00Z,,,,,,,,,,,,,,2020-01-27T00:00:00Z,1,1,1,0,0,0,0,0,867089835d8e0eed62a64c126af9211a272824bf
20200126,1,1,,,,,,,,,,2020-01-26T00:00:00Z,,,,,,,,,,,,,,2020-01-26T00:00:00Z,1,1,1,0,0,0,0,0,27f9d5e7f6626bde3fe3661d9f5483ec51d3586c
20200125,1,1,,,,,,,,,,2020-01-25T00:00:00Z,,,,,,,,,,,,,,2020-01-25T00:00:00Z,1,1,1,0,0,0,0,0,0af47d87edd598331e830f03eb013c5fac5774b6
20200124,1,1,,,,,,,,,,2020-01-24T00:00:00Z,,,,,,,,,,,,,,2020-01-24T00:00:00Z,1,1,1,0,0,0,0,0,f5d5dfe38d20241799104eaaf3257c38e0f2e696
20200123,1,1,,,,,,,,,,2020-01-23T00:00:00Z,,,,,,,,,,,,,,2020-01-23T00:00:00Z,1,1,1,0,0,0,0,0,89232d3f9b235954d026717810fbfd6336e235c4
20200122,1,1,,,,,,,,,,2020-01-22T00:00:00Z,,,,,,,,,,,,,,2020-01-22T00:00:00Z,1,1,1,0,0,0,0,0,1dd68b4c6ec50f14dc9153fa23f2c5ab030aad1f
